,block_name,cpu_b,cpu_s,gpu
207,expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:3-stride:2-idskip:0,0.134019,0.235572,0.743921
208,expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:5-stride:2-idskip:0,0.124393,0.234933,0.438162
209,expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:5-stride:2-idskip:0,0.15538,0.309099,0.680878
210,expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:7-stride:2-idskip:0,0.134907,0.281041,0.409154
211,expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:7-stride:2-idskip:0,0.182356,0.377609,0.699667
212,expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:3-stride:1-idskip:0,0.105741,0.186169,0.329843
213,expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:3-stride:1-idskip:0,0.115268,0.210746,0.548753
214,expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:5-stride:1-idskip:0,0.103531,0.19489,0.395061
215,expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:5-stride:1-idskip:0,0.123888,0.221215,0.480247
216,expanded_conv-input:4x4x24-output:4x4x96-expand:3-kernel:7-stride:1-idskip:0,0.12389,0.254351,0.341583
217,expanded_conv-input:4x4x24-output:4x4x96-expand:6-kernel:7-stride:1-idskip:0,0.15923,0.335672,0.490672
218,expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:3-stride:2-idskip:0,0.0909111,0.177221,0.335372
219,expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:3-stride:2-idskip:0,0.0983179,0.184358,0.507305
220,expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:5-stride:2-idskip:0,0.094939,0.186762,0.378532
221,expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:5-stride:2-idskip:0,0.108405,0.215396,0.473094
222,expanded_conv-input:4x4x24-output:2x2x96-expand:3-kernel:7-stride:2-idskip:0,0.0979737,0.200468,0.323186
223,expanded_conv-input:4x4x24-output:2x2x96-expand:6-kernel:7-stride:2-idskip:0,0.118424,0.260612,0.529104
224,expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:3-stride:1-idskip:0,0.0742073,0.145205,0.309012
225,expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:3-stride:1-idskip:0,0.0924394,0.171732,0.484042
226,expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:5-stride:1-idskip:0,0.0747731,0.180951,0.312728
227,expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:5-stride:1-idskip:0,0.101545,0.17043,0.493324
228,expanded_conv-input:2x2x24-output:2x2x96-expand:3-kernel:7-stride:1-idskip:0,0.085031,0.172094,0.382727
229,expanded_conv-input:2x2x24-output:2x2x96-expand:6-kernel:7-stride:1-idskip:0,0.113054,0.227308,0.491916
230,expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:3-stride:2-idskip:0,0.0590187,0.113925,0.186327
231,expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:3-stride:2-idskip:0,0.076739,0.16784,0.270247
232,expanded_conv-input:2x2x24-output:1x1x96-expand:3-kernel:5-stride:2-idskip:0,0.0616044,0.158614,0.222625
233,expanded_conv-input:2x2x24-output:1x1x96-expand:6-kernel:5-stride:2-idskip:0,0.0906748,0.183642,0.217537
