block_name,time
expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:5-stride:1-idskip:0,0.53842
expanded_conv-input:4x4x24-output:4x4x80-expand:3-kernel:7-stride:1-idskip:0,0.360877
expanded_conv-input:4x4x24-output:4x4x80-expand:6-kernel:7-stride:1-idskip:0,0.545359
expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:3-stride:2-idskip:0,0.350464
expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:3-stride:2-idskip:0,0.513748
expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:5-stride:2-idskip:0,0.377853
expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:5-stride:2-idskip:0,0.463781
expanded_conv-input:4x4x24-output:2x2x80-expand:3-kernel:7-stride:2-idskip:0,0.361527
expanded_conv-input:4x4x24-output:2x2x80-expand:6-kernel:7-stride:2-idskip:0,0.477953
expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:3-stride:1-idskip:0,0.367401
expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:3-stride:1-idskip:0,0.487839
expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:5-stride:1-idskip:0,0.358272
expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:5-stride:1-idskip:0,0.495298
expanded_conv-input:2x2x24-output:2x2x80-expand:3-kernel:7-stride:1-idskip:0,0.37291
expanded_conv-input:2x2x24-output:2x2x80-expand:6-kernel:7-stride:1-idskip:0,0.565219
expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:3-stride:2-idskip:0,0.190108
expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:3-stride:2-idskip:0,0.258475
expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:5-stride:2-idskip:0,0.228234
expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:5-stride:2-idskip:0,0.244207
expanded_conv-input:2x2x24-output:1x1x80-expand:3-kernel:7-stride:2-idskip:0,0.24041
expanded_conv-input:2x2x24-output:1x1x80-expand:6-kernel:7-stride:2-idskip:0,0.283875
expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:3-stride:1-idskip:0,4.02372
expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:3-stride:1-idskip:0,7.67508
expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:5-stride:1-idskip:0,4.19989
expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:5-stride:1-idskip:0,8.09316
expanded_conv-input:32x32x24-output:32x32x96-expand:3-kernel:7-stride:1-idskip:0,4.83388
expanded_conv-input:32x32x24-output:32x32x96-expand:6-kernel:7-stride:1-idskip:0,9.38184
expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:3-stride:2-idskip:0,2.00002
expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:3-stride:2-idskip:0,3.43848
expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:5-stride:2-idskip:0,1.94871
expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:5-stride:2-idskip:0,3.65177
expanded_conv-input:32x32x24-output:16x16x96-expand:3-kernel:7-stride:2-idskip:0,2.14558
expanded_conv-input:32x32x24-output:16x16x96-expand:6-kernel:7-stride:2-idskip:0,4.05433
expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:3-stride:1-idskip:0,1.28437
expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:3-stride:1-idskip:0,2.34238
expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:5-stride:1-idskip:0,1.38813
expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:5-stride:1-idskip:0,2.41274
expanded_conv-input:16x16x24-output:16x16x96-expand:3-kernel:7-stride:1-idskip:0,1.47439
expanded_conv-input:16x16x24-output:16x16x96-expand:6-kernel:7-stride:1-idskip:0,2.71634
expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:3-stride:2-idskip:0,0.693035
expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:3-stride:2-idskip:0,1.23211
expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:5-stride:2-idskip:0,0.705369
expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:5-stride:2-idskip:0,1.22115
expanded_conv-input:16x16x24-output:8x8x96-expand:3-kernel:7-stride:2-idskip:0,0.778178
expanded_conv-input:16x16x24-output:8x8x96-expand:6-kernel:7-stride:2-idskip:0,1.31745
expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:3-stride:1-idskip:0,0.54801
expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:3-stride:1-idskip:0,0.965974
expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:5-stride:1-idskip:0,0.62418
expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:5-stride:1-idskip:0,0.95293
expanded_conv-input:8x8x24-output:8x8x96-expand:3-kernel:7-stride:1-idskip:0,0.694296
expanded_conv-input:8x8x24-output:8x8x96-expand:6-kernel:7-stride:1-idskip:0,0.999436
expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:3-stride:2-idskip:0,0.396852
expanded_conv-input:8x8x24-output:4x4x96-expand:6-kernel:3-stride:2-idskip:0,0.743921
expanded_conv-input:8x8x24-output:4x4x96-expand:3-kernel:5-stride:2-idskip:0,0.438162
